,behavior,brainarea,cluster,clusterPeakAmplitudes,clusterPeakTimes,clusterSpikeSD,clusterSpikeShape,date,depth,ephys,indExperiment,indSite,info,inforecPath,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality,atBestFreq,bestFreq
0,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,1.0,[ -67.12832498 -118.802086    -53.13271961],[ 0.00015678  0.00026784  0.00040503],"[  76.51060317   90.93108098   97.11846051   93.34091429   83.32656854
   80.86079457   80.58375449   96.40344289  106.46430357  100.93347781
  100.02069207  120.35723411  136.18594241  138.16152483  128.54462132
  114.83221249  107.88759378  109.67618755  109.52744778  101.25461565
   88.77834968   71.46807644   65.00170627   57.23154075   50.14839467
   50.16846331   54.6131035    56.31843349   56.62847457   55.1912258
   41.1867025    42.10786621   46.00838587   48.5415865    50.32946658
   53.97823253   60.00255091   66.87210935   73.59195069   81.36502792]","[ -48.78181818  -63.01818182  -79.29090909  -78.09090909  -70.54545455
  -68.89090909  -90.78181818 -110.52727273 -118.85454545 -107.01818182
  -81.14545455  -59.87272727  -53.2         -54.18181818  -52.78181818
  -46.34545455  -39.52727273  -35.34545455  -31.2         -23.50909091
  -12.49090909  -13.76363636   -4.8           4.92727273   14.61818182
   21.52727273   26.07272727   38.96363636   40.36363636   41.23636364
   30.90909091   36.21818182   39.94545455   30.07272727   15.94545455
    9.36363636    4.14545455   -0.49090909   -7.94545455  -18.36363636]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.2,11.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,1.46558277447,0.0,
1,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2.0,[ -0.95929204 -61.89498268  47.9686242 ],[ 0.          0.00026784  0.00058141],"[ 20.68572807  19.7691346   17.94658209  17.16148318  16.54601099
  15.9800371   14.63143334  13.79670569  12.62659542  12.51431771
  13.47270366  16.79314982  20.60947353  24.20048345  26.95143444
  28.71543172  30.09618255  30.85470166  30.86366388  30.12103132
  28.78093966  27.64892717  26.42984145  24.95420022  23.74539225
  23.00402597  22.91974466  22.94124902  22.62127021  21.92932625
  21.08780953  20.69587853  20.90178663  21.15341579  20.97412981
  20.46149613  20.74624186  20.69000578  20.94199612  21.94997758]","[ -0.95929204  -2.19115044  -4.27728614  -7.16460177 -11.65663717
 -21.01356932 -37.08259587 -54.11622419 -61.88554572 -55.5539823
 -40.68554572 -23.51091445  -6.45250737   9.93982301  24.82182891
  36.56047198  44.27020649  47.67374631  47.4979351   44.98702065
  41.30442478  36.96814159  32.40058997  27.64719764  23.02182891
  19.09675516  16.37581121  14.31740413  12.54336283  10.74159292
   8.3899705    5.94336283   4.18761062   3.07846608   2.22123894
   1.51740413   1.27079646   0.60176991  -0.14572271  -0.95634218]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.0,339.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,2.84930324704,0.0,
2,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,3.0,[ -1.69026549 -65.80006025  37.63223137],[ 0.          0.00026784  0.00057487],"[ 23.85889059  23.25058612  22.09285812  20.66615145  18.90148404
  16.90799976  15.49572097  16.1262282   16.30946128  16.32803897
  16.54718288  19.27709972  23.6282688   27.5696505   30.81139624
  32.84037064  34.19849697  34.82972801  34.4523019   33.54663489
  32.38232002  31.22868111  30.31634179  29.85957198  29.55651139
  29.18868413  28.790406    28.67543566  28.65580964  28.62970906
  28.41827339  27.94682989  27.68950017  27.9112477   27.88198634
  27.52342975  27.1054624   26.65098847  25.77495201  24.77409682]","[ -1.69026549  -3.40619469  -5.88510324  -8.67949853 -13.58348083
 -23.96415929 -40.80250737 -58.10383481 -65.80929204 -58.23657817
 -40.84705015 -21.7399705   -4.92522124   9.59410029  21.68613569
  30.6420354   35.71725664  37.59587021  36.94528024  34.88244838
  32.15958702  29.30265487  26.72389381  24.43687316  21.94321534
  19.59365782  17.27050147  15.34867257  13.80132743  12.39262537
  11.26932153  10.07876106   8.75309735   7.31253687   5.76651917
   4.67094395   3.50855457   2.13923304   0.36710914  -1.27182891]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.0140221402214,1356.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,2.51481507604,1.0,6628.90803468
3,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,4.0,[ -5.79871245 -91.54515561  66.92118957],[ 0.          0.00026784  0.00057487],"[ 20.72449564  19.90926899  19.3326662   19.07299387  19.11499327
  19.61595751  21.5671713   25.03096577  27.08452136  26.02222448
  23.10825232  24.56548213  30.85467523  37.23745967  41.47272685
  42.69589037  41.60934294  39.71378011  37.8988067   36.13036969
  34.18666632  32.50850287  31.61625091  31.36066018  30.87241673
  30.24503324  29.78019778  29.81405664  29.73568185  29.40955879
  29.08739959  29.17158519  29.15061689  28.85529127  28.49819027
  27.87799421  26.99759851  26.02910101  24.85583193  23.97948533]","[ -5.79871245  -8.04270386 -10.86545064 -15.30193133 -23.7276824
 -38.93347639 -60.6693133  -82.05579399 -91.55472103 -81.70364807
 -56.73412017 -26.34098712   1.99055794  25.51759657  43.65643777
  56.51738197  64.03347639  66.82081545  66.17339056  63.55815451
  59.81137339  55.13969957  50.04742489  44.6139485   39.15579399
  33.88454936  29.08562232  24.55793991  20.51845494  16.47832618
  12.85793991   9.81094421   7.05064378   4.36759657   1.44463519
  -1.23948498  -3.45536481  -5.22017167  -6.15343348  -6.65815451]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.00644468313641,932.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,3.16547778202,1.0,6628.90803468
4,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,5.0,[ -4.29482163 -69.15830181  59.1788816 ],[ 0.          0.00026784  0.00052915],"[ 16.56848835  16.55221373  16.35817656  16.14208776  15.90358436
  15.13132846  14.05645464  13.68471168  13.59128467  14.18094243
  15.84517737  19.69570484  23.59428805  25.96872498  26.59671914
  26.05036185  24.99349611  24.03197003  23.29047354  22.85954985
  22.32036656  21.82924445  21.61585925  21.7398353   21.99260358
  22.00958714  21.75648977  21.6276596   21.64609491  21.54507875
  21.2292606   20.86804207  20.52721111  20.29060948  20.06836108
  20.0087252   19.63669558  18.87280354  17.95534594  17.45120094]","[ -4.29482163  -5.2664557   -6.70368239  -9.0924626  -14.37704258
 -25.40471807 -42.71104718 -60.81829689 -69.17088608 -59.96150748
 -36.61754891  -8.61242808  16.58837745  36.32387802  49.91582278
  57.26110472  59.16841197  57.22991945  53.33555811  48.5159954
  43.36720368  38.1235328   33.129229    28.55264672  24.23429229
  20.15466053  16.56047181  13.33958573  10.34269275   7.66513234
   5.56455696   3.92347526   2.3273878    0.64309551  -0.99545455
  -2.31576525  -3.46173763  -4.62543153  -5.2632336   -5.78855006]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.00258992805755,3476.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,3.45753988996,1.0,12068.3526731
5,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,1.0,[ -63.54693529 -106.50951222   77.72632347],[ 0.00013719  0.00026784  0.00085578],"[  93.05623888  102.91017625  110.68595143  104.73393597   91.7891742
   87.47746853   95.74262292  110.85586856  112.39073513  104.15173351
   92.59267992   88.03004814   88.35995187   88.57064183  100.79664863
  133.67852705  159.18093282  164.969823    157.60163189  143.86867058
  129.35315999  116.12909775  104.20468365   93.91936701   82.55505644
   78.56050912   75.78470224   69.16338898   66.47611883   62.53514512
   57.93565396   58.36109444   65.85673371   69.98667619   77.10109334
   77.38755451   77.90063783   81.20303931   88.54361125   98.57354805]","[ -41.2625  -55.875   -62.3125  -64.3875  -63.55    -66.55    -78.3125
  -93.6625 -106.4125  -98.9375  -84.275   -73.475   -67.8375  -57.6625
  -35.975    -9.4625    8.625    15.75     29.175    35.775    41.
   44.3875   49.2375   56.95     71.7875   75.6625   76.4375   61.825
   59.625    59.925    63.       57.0125   50.575    48.7125   37.4625
   34.4625   29.625    23.0625   -8.2375  -16.225 ]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.133333333333,16.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,1.1028756916,0.0,
6,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2.0,[ -4.9324833  -80.41281048  50.01209179],[ 0.          0.00026784  0.00079698],"[ 24.10263336  23.31476203  22.70303477  23.21594583  24.28258908
  25.56913654  27.35008484  29.18110014  29.57091834  29.59651815
  28.004523    26.19198458  24.62932946  23.64475624  23.30801384
  23.88461897  25.70974752  28.11766302  30.56431147  32.93794064
  34.99566021  36.42629863  37.27308744  37.73737013  37.82387427
  37.56164614  37.14714493  36.87156488  36.29111353  35.42214832
  33.99886048  32.76172069  32.09184267  31.5193841   30.74756383
  29.88939343  29.33589832  28.80700274  28.15400542  27.36099906]","[ -4.9324833   -8.11863995 -12.94741955 -19.72228294 -29.50382514
 -42.75567699 -58.90236794 -73.87686703 -80.42282939 -74.1033394
 -60.52191864 -46.44128719 -34.52762599 -23.57061324 -12.69180328
  -2.06290225   7.82015786  16.75919854  25.13491196  32.75434123
  39.45063752  44.49872495  47.69738919  49.56563449  50.00692168
  49.4856102   48.03387978  45.90843959  43.25962356  40.29981785
  37.21044323  33.78020644  30.22197936  27.12592593  24.30382514
  21.37595628  18.41615058  14.96490589  11.63145112   8.34608379]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.00911300121507,1647.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,2.6846862908,1.0,6628.90803468
7,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,3.0,[  1.08972368 -88.0113343   64.39942702],[  2.61306533e-05   2.67839196e-04   7.31658291e-04],"[ 16.97324589  18.33203249  20.95661471  24.06883969  25.72628859
  24.36385981  21.42795371  19.89036388  19.87250046  19.79179062
  20.52621493  22.47405024  24.0793768   24.30984847  23.97565552
  23.66769213  23.49476576  23.4534029   23.56240176  24.15812539
  25.19651402  26.43551311  27.10723658  27.58629895  27.75782595
  27.93546195  28.30285057  28.50988968  27.92726256  26.85686572
  25.50412344  24.18286419  23.56238153  23.2791243   22.78890925
  22.02530679  21.20902484  19.77139106  18.38265867  17.57820723]","[  0.30022422   1.05515695  -1.77264574 -10.27556054 -24.02017937
 -42.00695067 -62.62264574 -80.67130045 -88.02017937 -80.88497758
 -63.75852018 -44.53251121 -27.12466368 -11.25067265   3.77869955
  17.45134529  29.28766816  39.49977578  48.19372197  55.10044843
  60.31098655  63.47466368  64.38991031  63.14932735  60.5190583
  56.92780269  53.00919283  48.59865471  43.29170404  37.73026906
  32.40112108  27.58295964  23.38340807  19.67690583  15.89686099
  11.77914798   8.23789238   5.25941704   3.12040359   1.65224215]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.0,892.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,3.75713509642,0.0,
8,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,4.0,[ -6.68437461 -92.35589752  63.95278867],[ 0.          0.00026784  0.00081005],"[ 15.4559128   15.35001408  16.02751235  17.85581956  19.4954322
  18.5023355   16.28641721  16.17218626  16.51098583  15.97031024
  15.65818964  16.99675821  18.50565539  18.97890594  18.83548204
  18.71283299  18.77686111  18.88292107  18.90495421  18.81602943
  18.49324289  17.83509688  16.91799554  15.9799818   15.28813631
  14.99728185  15.06051238  15.32729227  15.79090668  16.33554959
  16.91094902  17.40403418  17.74742307  17.93403291  17.97903623
  18.0518623   18.18076345  18.22802938  18.03543321  17.8005372 ]","[ -6.68437461  -8.62306725 -12.28240101 -19.88472659 -32.86056568
 -50.55598994 -69.98217473 -85.96675047 -92.35997486 -86.51419233
 -72.64276556 -56.98204903 -42.08095537 -27.50685104 -13.15000629
   0.35308611  12.68292898  23.87686989  33.89104965  42.6476807
  50.08258957  56.01947203  60.24489001  62.78690132  63.87977373
  63.68722816  62.32979258  60.07817725  57.12574481  53.57338781
  49.57034569  45.4785418   41.35446889  37.20272784  33.03561282
  28.90734129  24.8639472   21.02105594  17.73622879  14.73490886]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.00163429505311,15910.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,5.3462663475,1.0,5428.83523319
9,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,5.0,[ -2.36885246 -91.07673607  66.1861329 ],[ 0.          0.00026784  0.00075126],"[ 17.65845398  18.00129298  19.48401359  22.5488558   23.94259269
  22.05551845  19.73498541  19.09059251  19.21443469  19.06982867
  19.09481778  20.82154585  22.78018587  23.31113443  23.17169934
  23.26229018  23.55816872  24.08499884  24.52867722  24.49696685
  23.85304852  22.78204143  22.02919121  22.18624721  22.12076822
  22.1826116   22.37750636  22.41651148  22.17962313  22.01240542
  21.8365869   21.73976856  21.45609115  20.84963251  20.03809768
  19.64800494  19.74958644  19.7582843   19.18785696  18.35336464]","[ -2.36885246  -5.78967213 -13.86114754 -26.41229508 -40.93377049
 -55.77622951 -71.04311475 -84.97196721 -91.08754098 -84.57032787
 -68.84245902 -50.73409836 -33.49590164 -17.17262295  -1.70737705
  12.46885246  24.97508197  36.08557377  46.0795082   54.42344262
  60.40327869  64.07442623  65.97983607  65.99704918  64.75983607
  62.36557377  59.34393443  55.80360656  51.5752459   46.79721311
  41.78196721  36.89803279  32.61868852  28.46754098  24.54344262
  20.50065574  16.14245902  11.98983607   8.39622951   5.35557377]",2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",0.0,0.0,anteriorDiI,/home/jarauser/src/jaratest/common/inforecordings/band022_inforec.py,0.00820344544709,1220.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,4.25260222323,1.0,12068.3526731
