,behavior,brainarea,cluster,clusterPeakAmplitudes,clusterPeakTimes,clusterSpikeSD,clusterSpikeShape,date,depth,ephys,indExperiment,indSite,info,inforecPath,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality,atBestFreq,bestFreq
0,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,1.0,[ -15.06666667 -142.17009973  217.68974229],[ 0.          0.00026784  0.00062714],"[ 45.56128961  42.1220449   37.21920386  31.90193307  26.54836723
  22.9382639   21.59711915  23.85977554  25.94644056  24.53878764
  21.43830655  29.31693144  46.95246874  59.64878275  67.12581884
  73.01685921  78.2216856   82.83477531  85.7404582   87.16717017
  99.9438509   87.88821182  73.60817856  60.31075084  50.03056843
  45.76614739  48.14894586  49.8843106   48.91656792  46.84326374
  43.24503825  40.68703801  38.30618685  39.56844983  40.32318819
  43.48044544  47.3118261   47.13309759  47.00626698  54.26146121]","[ -15.06666667  -25.13333333  -37.44444444  -54.46666667  -74.24444444
  -93.02222222 -112.26666667 -132.06666667 -142.13333333 -134.48888889
 -114.48888889  -89.64444444  -59.48888889  -20.77777778   25.6
   74.77777778  122.71111111  165.6         197.97777778  216.4
  176.93333333  168.6         152.22222222  132.66666667  111.73333333
   88.84444444   65.08888889   44.46666667   29.42222222   19.35555556
   10.2          -1.42222222  -16.97777778  -22.33333333  -23.57777778
  -20.15555556  -20.93333333  -23.4         -25.55555556   -6.77777778]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.0,9.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,4.0,2.86292675884,0.0,
1,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,2.0,[ -7.80693137 -60.97723019  46.94373043],[ 0.          0.00026784  0.00073166],"[ 23.37013092  22.0977757   20.62239566  19.32126372  17.59888421
  14.82108652  11.38842007   9.10235376   8.39211715  10.9529708
  12.86309535  16.81151023  21.70765537  26.80254863  31.64127837
  35.73518405  38.74516894  40.49463811  40.89819536  40.13786509
  38.76888385  37.26870876  35.82508358  34.63031479  34.03364631
  33.8766117   33.84099513  33.78407223  33.76112627  33.72761988
  33.66786171  33.55749355  33.33220143  33.01686242  32.65043748
  32.20584696  31.39821192  30.64516925  29.81969194  28.79634235]","[ -7.80693137 -12.51562287 -17.89024424 -23.1757675  -28.19257743
 -34.41451767 -44.16763542 -55.51616865 -60.99844454 -54.89248192
 -43.03686724 -31.81877473 -22.4352572  -12.79295948  -1.97762314
   9.11237549  19.33131396  28.18152545  35.33000409  40.77451221
  44.44153363  46.43918679  46.93699004  46.15819348  44.21323509
  41.36485196  37.78657388  33.86216401  29.59836267  25.2859326
  21.08099331  17.11887024  13.41375358  10.12042571   7.09728476
   4.37241097   1.86478374  -0.47485332  -2.84570883  -5.23190067]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.0327510917031,7329.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,4.0,2.15445981657,0.0,
2,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,3.0,[  0.38545232 -81.40140191  53.29096511],[ 0.          0.00026784  0.00079045],"[ 15.87435103  16.56006532  17.11838057  17.67289327  17.77589069
  16.55245225  15.2836153   15.91103405  16.59429512  16.15431591
  15.68497836  16.67306845  17.92644644  18.53862056  18.81499575
  18.94880935  18.90138845  18.87405683  19.00934259  19.020732
  18.42527777  17.51622952  16.76282952  16.41681265  16.36943748
  16.55156374  16.99617683  17.34996784  17.68448743  17.93981798
  18.09604393  18.26268097  18.24367544  18.02026922  17.73529452
  17.54810045  17.36622811  17.32679784  17.20275683  17.01179567]","[  0.38545232  -3.04737164  -8.8903423  -17.34187042 -28.29095355
 -42.15201711 -58.9690709  -74.72206601 -81.4101467  -74.92286064
 -60.06155257 -44.17035452 -30.15550122 -17.28251834  -4.92603912
   6.52854523  16.56491443  25.11320293  32.47671149  38.88037897
  44.27347188  48.47261614  51.37952323  52.93795844  53.27787286
  52.63930318  51.17163814  48.86705379  45.83820293  42.27909535
  38.37781174  34.34089242  30.47396088  26.83575795  23.17652812
  19.53264059  15.96026895  12.79523227  10.12518337   7.65855746]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.0,3272.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,4.0,4.67343392203,1.0,17993.6247481
3,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,4.0,[ -2.07222598 -59.94229042  28.38588322],[  8.49246231e-05   2.67839196e-04   6.07537688e-04],"[ 20.29566753  20.0823425   19.94613096  20.29907181  20.16619805
  18.2688041   16.47739402  17.5521221   18.38363532  17.76939223
  16.47581805  17.83281687  21.66207043  26.02741165  29.41122602
  31.20696847  31.40777689  30.35251473  28.9075143   27.60176575
  26.40128207  25.85559544  25.66111706  25.4819292   25.4382181
  25.46517778  25.55067051  25.30509856  24.77314999  24.53900211
  24.54996156  24.41630626  24.03859088  23.67237751  23.38721013
  23.16549814  22.93059247  22.78136514  22.49281986  21.96466144]","[ -0.40904908  -1.5101227   -2.06602761  -2.19125767  -4.64317485
 -14.08435583 -32.0381135  -51.33282209 -59.94785276 -51.95851227
 -34.12530675 -16.14179448  -2.19240798   8.36273006  16.65467791
  22.68259202  26.1958589   27.83780675  28.37308282  28.16127301
  27.24654908  25.70498466  23.98481595  22.38397239  20.98742331
  19.75590491  18.37016871  16.75559816  15.26127301  13.86894172
  12.58381902  11.38757669  10.15605828   8.95         7.86970859
   6.64110429   5.25874233   3.94516871   2.69110429   1.13029141]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.00652090525508,2608.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,4.0,2.55618188194,1.0,17993.6247481
4,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,5.0,[-11.44495468 -80.73691784  81.93163444],[ 0.          0.00026784  0.00071859],"[ 29.14152253  26.44288165  24.51718938  23.1800403   22.03860369
  20.8089778   19.71931694  19.52353752  19.66559244  21.6264797
  22.09997185  24.36000127  29.12174168  35.90248216  43.09767167
  50.02395074  56.01267394  60.26725574  62.52957249  62.69385549
  61.36687854  59.45237136  57.27325606  54.9944633   53.08585002
  51.48897731  50.62224354  50.29371411  50.53308153  51.05554824
  51.58628746  51.89096475  52.23970115  52.37599321  51.51745642
  50.30449307  48.53224826  46.57612664  44.36037546  41.52062017]","[-11.44495468 -18.65933535 -26.62634441 -34.62513595 -42.57293051
 -51.43226586 -62.9036858  -74.95987915 -80.76048338 -74.20205438
 -61.29401813 -47.71903323 -34.54610272 -19.37583082  -2.25039275
  15.84145015  33.3139577   49.28314199  62.53208459  72.45691843
  78.71045317  81.6370997   81.55033233  78.82006042  73.70864048
  67.52930514  60.64410876  53.49740181  46.17244713  38.81377644
  32.33075529  26.32        20.54066465  15.00024169   9.50803625
   4.95238671   1.12338369  -2.91867069  -6.9494864  -11.07685801]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.0223700120919,1655.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,4.0,1.89540637016,0.0,
5,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,6.0,[ -4.05836972 -82.1703812   46.75180382],[ 0.          0.00026784  0.00075779],"[ 24.08873333  24.16419676  24.2442602   24.53359097  24.56836088
  23.89129564  23.21103675  23.21904605  23.19552668  23.81611188
  23.14649272  23.22418368  24.66721197  26.37433839  28.00259051
  29.97393433  31.70683539  32.63477446  33.04870987  33.028528
  32.69327177  32.37290078  32.24414594  32.27601026  32.30546037
  32.25423786  31.93546998  31.30242139  30.58733784  30.17856579
  29.74661345  29.70122254  29.79324289  29.66184652  29.28478697
  29.13751475  28.98419635  28.35192916  27.7097514   27.03648451]","[ -4.05836972  -8.32518195 -14.66346434 -22.87802038 -32.5580786
 -44.63275109 -59.97248908 -75.22707424 -82.1797671  -75.38195051
 -60.60451237 -45.13347889 -31.6286754  -18.91775837  -6.06666667
   6.20058224  16.97365357  25.61193595  32.53959243  38.08500728
  42.14294032  44.82183406  46.39883552  46.7294032   46.09679767
  44.79752547  42.94803493  40.46069869  37.46011645  33.91717613
  30.49286754  27.21077147  23.99461426  20.21746725  16.60014556
  13.58311499  10.24483261   7.10232897   4.40349345   1.40218341]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.00509832483613,1374.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,4.0,2.90278500899,1.0,17993.6247481
6,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,1.0,[ -4.5        -96.23322521  58.98790412],[ 0.          0.00026131  0.00077085],"[ 26.67347964  22.13594668  24.24783587  27.66578991  31.15065069
  37.61253209  44.69722642  50.64275729  53.00838251  56.5884969
  49.32773333  41.96008373  38.57465605  37.36493944  35.21100791
  33.18568655  33.76541356  35.87816649  38.22731411  40.12610157
  40.14722542  38.30091328  40.23565236  40.9748494   41.10674614
  40.36247845  40.31473691  41.72469667  41.98641374  42.16640058
  42.20533043  43.89551555  45.02320687  45.07787411  45.61101105
  43.366917    41.74904162  41.27870149  41.61764314  41.27186583]","[ -4.5         -9.77741935 -13.32903226 -20.02903226 -32.52258065
 -49.40322581 -69.73870968 -88.21290323 -96.29032258 -86.0516129
 -68.93870968 -50.5516129  -35.25483871 -21.79677419  -8.2483871
   5.33870968  17.53225806  27.56774194  35.82903226  42.71290323
  48.46451613  55.00645161  56.82580645  58.94516129  57.71612903
  56.59677419  56.91935484  54.99677419  52.29032258  50.35806452
  47.5516129   44.31290323  40.87096774  38.35483871  32.12258065
  30.47741935  27.75483871  24.50967742  21.38709677  16.72258065]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.0,62.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,6.0,2.41116318778,0.0,
7,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,2.0,[ -3.01603236 -95.62710937  50.24511533],[ 0.          0.00026784  0.00073166],"[ 19.94347243  19.89412155  20.00411245  20.50373883  20.91264574
  20.50130337  23.68540819  32.12527827  36.02169956  32.40187948
  25.23662162  22.05512193  24.18604561  28.06168329  31.11586568
  32.55224492  32.80292445  32.57738176  32.31597518  32.23335588
  32.25226041  31.97027685  31.3516888   30.39935574  29.41687317
  28.50778691  27.95561     27.52945381  27.33109227  27.16368402
  27.03148233  26.97772496  26.91749458  26.82855367  26.56062415
  26.21744054  25.95100026  25.6613304   25.1607957   24.47501014]","[ -3.01603236  -4.11971831  -5.28633503  -6.35010488 -10.24408151
 -24.60776146 -52.87311957 -82.90377585 -95.63802817 -84.36877435
 -59.88885226 -34.84986515 -14.45894516   1.59889122  14.19011088
  23.48504645  29.94992508  35.03892718  39.39634402  43.49721307
  47.11414444  49.60371591  50.23736889  49.38459694  47.43467186
  44.96080312  41.97344921  38.88510638  35.60128858  32.20002997
  28.81426431  25.79568475  23.0244531   20.25756668  17.30710219
  14.3919988   11.71132754   9.23338328   6.74569973   4.15783638]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.0044957290574,6674.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,6.0,3.4938964652,0.0,
8,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,3.0,[ -6.20963328 -61.63463691  44.52218142],[ 0.          0.00026784  0.00077739],"[ 18.83740805  17.59952966  17.68868586  17.8829284   17.14918982
  16.57148642  18.49136047  22.19101819  23.30474438  22.5376688
  18.94832315  17.55093768  19.28977123  22.37931614  25.42345223
  28.08145313  30.38457085  32.19839056  33.36996895  33.79856178
  33.623189    32.84468227  31.47525714  30.04839925  29.03611254
  28.70783887  28.68333899  28.71728334  29.11325305  29.75262399
  30.20549199  30.5281086   30.7551316   30.86467147  30.7968432
  30.45870725  29.84095173  29.38295202  28.7126156   26.81500796]","[ -6.20963328  -9.68768473 -13.33968254 -17.54986316 -22.99890531
 -30.99824849 -42.73475643 -55.41335523 -61.64608648 -55.35161467
 -42.72129174 -30.73661741 -21.51056377 -13.07837986  -4.3076081
   4.4831965   12.91943076  20.91122058  28.03349754  33.90279146
  38.2350301   41.37471264  43.47794198  44.48549535  44.23711002
  43.29392447  41.80875753  39.82999453  37.12457581  34.01226054
  30.86995074  27.74449918  24.70596606  21.83426382  19.04499179
  16.0622879   12.78817734   9.96551724   6.77000547   3.55697865]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.00602409638554,1827.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,6.0,2.33898391858,0.0,
9,"[None, None, 'band025_am_tuning_curve_20170419a.h5', 'band025_am_tuning_curve_20170419b.h5', 'band025_bandwidth_am_20170419c.h5', 'band025_am_tuning_curve_20170419d.h5']",left_AC,4.0,[ -2.77375746 -95.71467294  53.98276104],[ 0.          0.00026784  0.00085578],"[ 17.00986539  18.00765046  20.32227016  23.35708592  26.0403023
  27.2308018   28.20529172  30.16805008  31.29304426  29.68167479
  25.29187005  22.41604623  22.99287411  24.83735512  26.44511588
  27.47660243  27.99483766  27.99125206  27.39894456  26.39134527
  25.24552961  24.3301344   23.74180273  23.5310339   23.72743921
  24.09553499  24.84734221  25.77016471  26.68658045  27.44364129
  28.10532879  28.52386762  28.78117165  28.98749198  29.08175968
  28.95387874  28.57216747  27.93787294  27.21622875  26.62828441]","[ -2.77375746  -4.29115308  -7.36898608 -14.40944334 -27.4239894
 -46.5712061  -68.81239231 -87.90023194 -95.72637508 -87.88575215
 -69.19125249 -48.5981776  -31.26172962 -17.10563287  -4.76898608
   6.21325381  15.78257124  23.88475812  30.61328694  36.32365805
  41.19363817  45.25473824  48.62803181  51.18664679  52.84532803
  53.79118622  53.96000663  53.49058979  52.4359841   50.94589132
  49.02929092  46.7916501   44.3435719   41.51961564  38.62982107
  35.50752154  32.09184891  28.54496355  25.0370444   21.47720345]",2017-04-19,900.0,"['2017-04-19_13-12-12', '2017-04-19_13-21-37', '2017-04-19_13-25-38', '2017-04-19_13-33-26', '2017-04-19_13-50-33', '2017-04-19_14-12-01']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band025_inforec.py,0.0009942004971,6036.0,"['noisebursts', 'lasernoisebursts', 'tuningCurve', 'AM', 'laserBandwidth', 'noiseAmps']",band025,6.0,3.67159137498,0.0,
