,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes,clusterQuality
0,[None],1,2016-08-11,837,['2016-08-11_09-48-08'],0.0,8,['noisebursts'],band002,1,"[1, 2, 4, 6]",0
1,[None],1,2016-08-11,837,['2016-08-11_09-48-08'],0.0,32,['noisebursts'],band002,2,"[1, 2, 4, 6]",0
2,[None],2,2016-08-11,837,['2016-08-11_09-48-08'],0.0,272,['noisebursts'],band002,2,"[1, 2, 4, 6]",1
3,[None],3,2016-08-11,837,['2016-08-11_09-48-08'],1.1627906977,87,['noisebursts'],band002,2,"[1, 2, 4, 6]",2
4,[None],1,2016-08-11,837,['2016-08-11_09-48-08'],0.0,10,['noisebursts'],band002,4,"[1, 2, 4, 6]",0
5,[None],2,2016-08-11,837,['2016-08-11_09-48-08'],0.0,41,['noisebursts'],band002,4,"[1, 2, 4, 6]",0
6,[None],1,2016-08-11,837,['2016-08-11_09-48-08'],0.0,9,['noisebursts'],band002,6,"[1, 2, 4, 6]",0
7,[None],2,2016-08-11,837,['2016-08-11_09-48-08'],0.0,14,['noisebursts'],band002,6,"[1, 2, 4, 6]",0
9,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.809352518,1113,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",3
10,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,689,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",2
11,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.2688172043,373,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",2
12,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.1756440281,1709,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 4, 6]",2
13,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",1,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,52,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",0
14,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,2204,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
15,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",1.455399061,2131,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",0
16,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,782,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
17,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.5106382979,5876,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
18,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",6,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0604777744,3308,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1
19,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",1,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,4,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",0
