,behavior,brainarea,cluster,date,depth,ephys,info,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality
0,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.0,339.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,2.0
1,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,3.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,1.40221402214,1356.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,3.0
2,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,4.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.644468313641,932.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,3.0
3,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,5.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.258992805755,3476.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,1.0,1.0
4,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.911300121507,1647.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,0.0
5,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,3.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.0,892.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,2.0
6,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,4.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.163429505311,15910.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,1.0
7,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,5.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.820344544709,1220.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,2.0
8,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,6.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.156331422616,1920.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,3.0,2.0
9,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.0,633.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,5.0,2.0
10,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,4.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.696864111498,862.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,5.0,2.0
11,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,5.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.0,2032.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,5.0,2.0
12,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.0,1383.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,6.0,1.0
13,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,3.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.89485458613,448.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,6.0,0.0
14,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,2.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.521739130435,1151.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,7.0,0.0
15,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,3.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,1.93548387097,931.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,7.0,2.0
16,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,4.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.609225413403,6895.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,7.0,1.0
17,"[None, 'band022_am_tuning_curve_20170317a.h5', 'band022_am_tuning_curve_20170317b.h5', 'band022_bandwidth_am_20170317c.h5', 'band022_bandwidth_am_20170317d.h5']",right_thalamus,5.0,2017-03-17,3204.0,"['2017-03-17_11-28-33', '2017-03-17_11-36-36', '2017-03-17_11-49-48', '2017-03-17_11-58-07', '2017-03-17_12-17-27']",anteriorDiI,0.317965023847,2517.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth']",band022,7.0,3.0
