,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes
0,[None],1.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,8.0,['noisebursts'],band002,1.0,"[1, 2, 4, 6]"
1,[None],1.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,32.0,['noisebursts'],band002,2.0,"[1, 2, 4, 6]"
2,[None],2.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,272.0,['noisebursts'],band002,2.0,"[1, 2, 4, 6]"
3,[None],3.0,2016-08-11,837.0,['2016-08-11_09-48-08'],1.16279069767,87.0,['noisebursts'],band002,2.0,"[1, 2, 4, 6]"
4,[None],1.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,10.0,['noisebursts'],band002,4.0,"[1, 2, 4, 6]"
5,[None],2.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,41.0,['noisebursts'],band002,4.0,"[1, 2, 4, 6]"
6,[None],1.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,9.0,['noisebursts'],band002,6.0,"[1, 2, 4, 6]"
7,[None],2.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,14.0,['noisebursts'],band002,6.0,"[1, 2, 4, 6]"
8,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",1.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",7.69230769231,14.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
9,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.809352517986,1113.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
10,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,689.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
11,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.268817204301,373.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
12,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.175644028103,1709.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
