,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes
0,[None],1.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,8.0,['noisebursts'],band002,1.0,"[1, 2, 4, 6]"
1,[None],1.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,4.0,['noisebursts'],band002,2.0,"[1, 2, 4, 6]"
2,[None],2.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,255.0,['noisebursts'],band002,2.0,"[1, 2, 4, 6]"
3,[None],3.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,33.0,['noisebursts'],band002,2.0,"[1, 2, 4, 6]"
4,[None],4.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,43.0,['noisebursts'],band002,2.0,"[1, 2, 4, 6]"
5,[None],5.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,56.0,['noisebursts'],band002,2.0,"[1, 2, 4, 6]"
6,[None],1.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,10.0,['noisebursts'],band002,4.0,"[1, 2, 4, 6]"
7,[None],2.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,41.0,['noisebursts'],band002,4.0,"[1, 2, 4, 6]"
8,[None],1.0,2016-08-11,837.0,['2016-08-11_09-48-08'],0.0,23.0,['noisebursts'],band002,6.0,"[1, 2, 4, 6]"
9,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",1.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",14.2857142857,8.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
10,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.706713780919,284.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
11,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,706.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
12,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,696.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
13,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,549.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
14,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",6.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,281.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
15,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",7.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.442477876106,453.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
16,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",8.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,323.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
17,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",9.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.167504187605,598.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
18,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",1.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,7.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
19,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.819672131148,733.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
20,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.238014280857,2942.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
21,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0340136054422,2941.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
22,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,1198.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
23,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",6.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.54347826087,369.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
24,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",7.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.236127508855,3389.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
25,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",8.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,570.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
26,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",9.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.455580865604,440.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
27,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",10.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,895.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
28,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",11.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.230414746544,869.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
29,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",1.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,8.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
30,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.456621004566,220.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
31,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",3.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,349.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
32,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,1538.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
33,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,115.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
34,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",6.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,118.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
35,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",7.0,2016-08-11,900.0,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,293.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
36,['band002_am_tuning_curve_20160811e.h5'],1.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],0.0,4.0,['noisebursts'],band002,2.0,"[2, 3, 4, 6]"
37,['band002_am_tuning_curve_20160811e.h5'],2.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],1.0989010989,92.0,['noisebursts'],band002,2.0,"[2, 3, 4, 6]"
38,['band002_am_tuning_curve_20160811e.h5'],1.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],0.0,11.0,['noisebursts'],band002,3.0,"[2, 3, 4, 6]"
39,['band002_am_tuning_curve_20160811e.h5'],1.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],,1.0,['noisebursts'],band002,4.0,"[2, 3, 4, 6]"
40,['band002_am_tuning_curve_20160811e.h5'],2.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],0.0,664.0,['noisebursts'],band002,4.0,"[2, 3, 4, 6]"
41,['band002_am_tuning_curve_20160811e.h5'],3.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],0.0,197.0,['noisebursts'],band002,4.0,"[2, 3, 4, 6]"
42,['band002_am_tuning_curve_20160811e.h5'],4.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],0.0,58.0,['noisebursts'],band002,4.0,"[2, 3, 4, 6]"
43,['band002_am_tuning_curve_20160811e.h5'],5.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],0.0,52.0,['noisebursts'],band002,4.0,"[2, 3, 4, 6]"
44,['band002_am_tuning_curve_20160811e.h5'],1.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],0.0,20.0,['noisebursts'],band002,6.0,"[2, 3, 4, 6]"
45,['band002_am_tuning_curve_20160811e.h5'],2.0,2016-08-11,1007.0,['2016-08-11_10-36-29'],0.0,54.0,['noisebursts'],band002,6.0,"[2, 3, 4, 6]"
46,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",1.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,3.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
47,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",2.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,162.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
48,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",3.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,650.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
49,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",4.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,295.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
50,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",5.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,532.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
51,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",6.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.941176470588,426.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
52,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",7.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.471698113208,213.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
53,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",8.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.271002710027,1477.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2.0,"[2, 4, 6]"
54,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",1.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,8.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
55,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",2.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,494.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
56,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",3.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,431.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
57,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",4.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,538.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
58,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",5.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,378.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
59,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",6.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,304.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
60,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",7.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,202.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
61,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",8.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,807.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
62,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",9.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,2431.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4.0,"[2, 4, 6]"
63,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",1.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,6.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
64,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",2.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,492.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
65,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",3.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,6698.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
66,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",4.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,261.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
67,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",5.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.146198830409,685.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
68,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",6.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,345.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
69,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",7.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,9270.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
70,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",8.0,2016-08-11,1060.0,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,172.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6.0,"[2, 4, 6]"
