,behavior,brainarea,cluster,date,depth,ephys,info,isiViolations,nSpikes,sessiontype,subject,tetrode
0,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,1.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,0.0,2.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,1.0
1,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,2.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,0.587084148728,1023.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,1.0
2,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,3.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,0.0,186.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,1.0
3,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,4.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,1.62226521804,6720.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,1.0
4,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,5.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,0.0,770.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,1.0
5,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,6.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,0.0,241.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,1.0
6,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,1.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,1.6393442623,62.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,2.0
7,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,2.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,2.11535090282,34227.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,2.0
8,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,3.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,3.05648145317,65403.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,2.0
9,"[None, 'band023_am_tuning_curve_20170320a.h5', 'band023_am_tuning_curve_20170320b.h5', 'band023_bandwidth_am_20170320c.h5', 'band023_am_tuning_curve_20170320d.h5']",right_thalamus,4.0,2017-03-20,3301.0,"['2017-03-20_09-50-03', '2017-03-20_09-53-17', '2017-03-20_10-04-39', '2017-03-20_10-11-28', '2017-03-20_10-31-21']",anteriorDiI,1.92517253905,24778.0,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'noiseAmps']",band023,2.0
