,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes,clusterQuality,atBestFreq,laserResponse,HighAmpSS,LowAmpSS,HighPeakLoc,LowPeakLoc,HighPeakSR,LowPeakSR
2,[None],2,2016-08-11,837,['2016-08-11_09-48-08'],0.0,272,['noisebursts'],band002,2,"[1, 2, 4, 6]",1,,,,,,,,
14,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",2,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,2204,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1,1.0,0.0,0.428571428571,0.454545454545,1.0,0.25,0.233333333333,0.366666666667
16,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,782,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1,0.0,0.0,1.0,1.0,0.25,2.0,0.0322580645161,0.0333333333333
17,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",5,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.5106382979,5876,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1,1.0,0.0,0.877551020408,0.875,0.5,0.5,1.63333333333,3.73333333333
18,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",6,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0604777744,3308,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1,0.0,0.0,0.704761904762,0.75,0.25,0.25,1.35483870968,1.33333333333
22,"['band002_am_tuning_curve_20160811a.h5', 'band002_am_tuning_curve_20160811b.h5', 'band002_am_tuning_curve_20160811c.h5', 'band002_bandwidth_am_20160811d.h5']",4,2016-08-11,900,"['2016-08-11_09-53-50', '2016-08-11_09-55-51', '2016-08-11_10-06-41', '2016-08-11_10-14-24']",0.0,1626,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",1,0.0,0.0,0.793333333333,0.5,0.25,0.25,0.322580645161,0.133333333333
30,['band002_am_tuning_curve_20160811e.h5'],2,2016-08-11,1007,['2016-08-11_10-36-29'],0.0,54,['noisebursts'],band002,6,"[2, 3, 4, 6]",1,,,,,,,,
37,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",2,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.1321003963,758,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1,0.0,0.0,0.0,0.0,inf,inf,0.933333333333,0.933333333333
39,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",4,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,2063,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,4,"[2, 4, 6]",1,1.0,0.0,0.0,0.0,inf,inf,2.0,2.03333333333
43,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",2,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,16129,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",1,0.0,0.0,0.0,0.0914634146341,inf,2.0,8.33333333333,10.9333333333
44,"['band002_am_tuning_curve_20160811f.h5', 'band002_am_tuning_curve_20160811g.h5', 'band002_am_tuning_curve_20160811h.h5', 'band002_bandwidth_am_20160811i.h5']",3,2016-08-11,1060,"['2016-08-11_10-41-04', '2016-08-11_10-43-46', '2016-08-11_10-54-47', '2016-08-11_11-02-59']",0.0,736,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,6,"[2, 4, 6]",1,0.0,0.0,0.416666666667,0.153846153846,4.0,1.0,0.4,0.433333333333
49,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",2,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.0385728062,15556,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.0778443113772,0.429663810152,4.0,0.0,4.07317073171,4.40476190476
50,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",3,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.3378378378,1481,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.0571428571429,0.326059050064,0.5,0.5,0.853658536585,0.904761904762
52,"['band002_am_tuning_curve_20160811j.h5', 'band002_am_tuning_curve_20160811k.h5', 'band002_am_tuning_curve_20160811l.h5', 'band002_bandwidth_am_20160811m.h5']",5,2016-08-11,1135,"['2016-08-11_11-24-18', '2016-08-11_11-26-40', '2016-08-11_11-38-07', '2016-08-11_11-47-03']",0.1234350203,5672,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band002,2,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.145833333333,0.317757009346,0.5,1.0,2.34146341463,2.60975609756
