,behavior,brainarea,cluster,clusterPeakAmplitudes,clusterPeakTimes,clusterSpikeSD,clusterSpikeShape,date,depth,ephys,indExperiment,indSite,info,inforecPath,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality,laserResponse,bestFreq,bestBand
0,"[None, None]",right_AC,1.0,[-43.48668195 -62.2101612   78.37790903],[ 0.00019598  0.00028744  0.00076432],"[  4.5   3.9   1.6   0.2   0.5   2.5   0.5  10.4  17.6  15.1   5.    6.8
  16.4  21.8  24.   23.4  20.9  18.   11.4   3.    0.    0.1   1.1   2.2
   3.    3.5   2.3   0.9   2.6   2.   12.8  21.6  22.8  22.1  25.4  26.7
  20.7   9.7   9.    6.1]","[ -2.3  -9.7 -18.4 -30.8 -41.7 -44.7 -43.5 -48.4 -59.2 -61.1 -48.2 -33.6
 -24.6 -16.6  -7.6   0.2   8.9  21.   35.2  48.2  58.6  67.3  75.1  78.4
  76.   71.9  65.7  55.3  46.4  41.   36.2  32.4  28.6  21.7  13.4   6.3
   0.3  -7.5  -5.2  -4.9]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,2.0,"['laserPulse', 'noisebursts']",band033,2.0,6.18852635636,False,,
1,"[None, None]",right_AC,2.0,[  8.32046722 -74.75320255  48.1127664 ],[  7.18592965e-05   2.67839196e-04   8.36180905e-04],"[ 10.03948832  10.24445601  10.42072735  11.64410764  13.34824225
  13.5761852   12.22876245  11.31800353  11.15356055  10.92018438
  10.99109317  11.8829317   12.01191844  11.55696028  11.15890112
  10.60336527  10.36702745  10.45976319  10.53528254  10.91043634
  11.19091561  10.95164008  10.00530675   9.61060573   9.455553
   9.25947197   9.16233383   8.9823402   10.19283595  11.43645731
  11.36664544  10.205268     9.62307561  10.06521153  10.01947564
   9.4654749    9.79456366  10.33554171  10.1204518    9.70334331]","[  1.89473684   5.70827068   8.30977444   5.70977444  -4.06766917
 -21.42406015 -44.78496241 -66.07518797 -74.73834586 -68.63609023
 -54.81954887 -40.8406015  -29.25864662 -18.77593985  -8.31428571
   1.11729323   8.89774436  16.06466165  23.36992481  29.93082707
  35.12180451  39.29924812  42.79849624  45.53383459  47.39398496
  48.11729323  47.4481203   45.86466165  43.95488722  41.58496241
  38.38345865  34.28421053  29.61804511  25.3443609   22.18646617
  19.53082707  16.15037594  12.07969925   8.62857143   5.67368421]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,133.0,"['laserPulse', 'noisebursts']",band033,2.0,7.01384585818,False,,
2,"[None, None]",right_AC,3.0,[  2.6779986  -69.14105968  41.26646715],[  6.53266332e-05   2.67839196e-04   7.70854271e-04],"[ 14.64851803  16.63866102  20.66033318  23.20956331  22.530656
  17.90345964  17.76819675  23.02517164  25.23541598  23.5925986
  20.59925175  20.49115468  17.46437864  16.46771757  15.36084379
  14.16811677  14.3252839   14.02222296  13.98639685  15.03355972
  15.77590635  16.10097397  15.96812536  15.77287963  18.51977266
  20.10692994  20.28927309  19.03149193  18.77589447  19.26818387
  19.00955554  18.47815836  18.44515821  17.60789439  13.96684167
  11.63362836  11.31792779  12.20729906  13.95799152  14.67832403]","[ -0.2372093    1.62325581   2.66046512   0.35813953  -5.89767442
 -20.20930233 -41.20465116 -61.02325581 -69.14883721 -62.2372093
 -47.96744186 -34.20465116 -25.36744186 -16.85581395  -7.74883721
   0.70697674   7.81395349  14.53488372  21.09767442  26.6372093
  31.17209302  35.48372093  39.11162791  41.2372093   40.58139535
  40.32093023  39.69302326  38.7627907   37.52093023  35.81860465
  33.53488372  30.4372093   26.34418605  21.61395349  18.15813953
  15.59069767  13.65581395  11.7627907    8.73488372   4.65116279]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,43.0,"['laserPulse', 'noisebursts']",band033,2.0,3.96199026468,False,,
3,"[None, None]",right_AC,4.0,[   6.43195163 -101.6731677    71.35200021],[  7.83919598e-05   2.67839196e-04   5.87939698e-04],"[  9.20430532   9.40158815   9.74431923  10.2307271   11.52612525
  13.47335423  15.94629529  18.1603274   18.18807998  16.25146318
  14.01887405  13.1743917   13.97091601  14.513995    15.10280462
  15.5645139   15.10642939  14.33431313  14.05698083  13.67230049
  12.77204947  11.6043358   10.55727479  10.55508035  10.81387837
  10.49796808  10.21764326  10.56019736  10.71633676  10.33290303
  10.29985578  10.70303817  10.70274182  10.28043409   9.94650233
   9.44904902   9.41303678   9.96275717  10.85058934  11.40675676]","[   0.42236842    2.71184211    5.95921053    5.26578947   -4.14605263
  -24.86315789  -56.38815789  -88.18815789 -101.69210526  -88.73157895
  -59.13421053  -26.56184211    3.04078947   28.59868421   48.73289474
   61.73421053   68.15131579   70.875        71.07236842   67.86315789
   61.94605263   54.72105263   46.85131579   39.24605263   32.47631579
   26.07631579   19.96710526   14.76973684   10.41973684    6.49210526
    3.31842105    0.97763158   -1.05131579   -3.04342105   -4.98421053
   -6.88552632   -8.55131579   -9.82894737  -10.82763158  -11.91052632]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,152.0,"['laserPulse', 'noisebursts']",band033,2.0,8.34610260424,True,,
4,"[None, None]",right_AC,1.0,[ 20.13637951 -69.20686446  35.44494391],[  8.49246231e-05   2.67839196e-04   9.01507538e-04],"[ 10.94832419  10.41689629  13.50409631  18.00052125  19.29454602
  16.04015409  14.17152422  18.13303377  21.514672    21.07934452
  18.51788592  17.10887431  15.63646024  14.32254978  12.64454208
  11.14335876  10.80539988  12.9444969   15.27192615  16.83399339
  18.2474216   18.4097666   17.03202503  15.47263614  15.1102941
  16.69022409  19.28030083  19.63585785  17.2239139   15.53594001
  15.97111977  17.02732735  19.34568252  21.06803793  19.82030384
  17.2153965   14.40533166  12.48355461  11.50328456  12.74917088]","[ 10.54444444  14.72222222  19.07777778  19.51111111  11.22222222
  -7.41111111 -33.91111111 -58.64444444 -69.16666667 -63.08888889
 -49.51111111 -37.95555556 -30.5        -22.78888889 -14.13333333  -5.5
   2.7          9.26666667  14.27777778  18.83333333  22.82222222
  26.57777778  29.91111111  31.64444444  32.48888889  33.85555556
  35.03333333  35.44444444  34.71111111  31.51111111  27.1         23.88888889
  21.81111111  19.4         17.06666667  14.91111111  13.15555556
  10.14444444   6.3          7.54444444]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,18.0,"['laserPulse', 'noisebursts']",band033,4.0,4.30819497121,False,,
5,"[None, None]",right_AC,2.0,[ 17.29718967 -89.336354    52.00688812],[  7.18592965e-05   2.67839196e-04   8.42713568e-04],"[ 10.81776514  12.30351162  11.6745485   10.90914919  13.28447207
  15.30135239  17.09868871  21.79722535  23.99628505  20.85811812  16.30053
  13.21365597  11.87271756  12.01387346  12.67018506  13.20187192
  13.55725728  14.13890305  14.55623883  13.91254104  13.01374207
  13.60268575  14.22768656  13.33807276  11.70189242  10.35477346
   9.90450403  10.16306166  11.01684722  12.08656304  12.28926787
  12.04135806  12.07184596  13.18782846  14.02815353  14.26523507
  13.0872491   11.92358604  10.70306988  11.0237123 ]","[  6.632       12.56533333  17.128       14.608        2.50133333
 -20.18133333 -51.17333333 -78.91733333 -89.352      -80.72533333
 -63.35466667 -46.664      -32.81333333 -20.18666667  -8.312        1.85333333
  10.45866667  18.30933333  25.49333333  32.10133333  37.872       41.99733333
  44.70133333  47.18133333  49.92266667  51.84        51.48        48.66666667
  44.888       41.37066667  38.20533333  35.336       32.16533333
  27.98933333  23.74133333  19.09866667  15.14666667  11.864        9.46133333
   7.14933333]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,75.0,"['laserPulse', 'noisebursts']",band033,4.0,6.64816280662,False,,
6,"[None, None]",right_AC,1.0,[ -7.31330142 -80.43637703  55.48954181],[  7.18592965e-05   2.61306533e-04   7.70854271e-04],"[  8.81110663   9.00943949  10.47480787  15.04999668  14.14615142
  14.88999664  21.71160059  29.47243458  31.08211061  25.47162343
  19.87964788  16.52616108  14.3346294   13.08955309  12.33338559
  14.30397148  18.26911054  18.7083297   16.36576915  15.47286657
  17.80880681  21.73369734  23.98699648  24.91320132  25.20800666
  24.68704113  26.44208766  26.55786889  25.29411789  24.0888771
  24.84766387  26.50376577  27.05697692  24.90384709  21.27346704
  18.5980214   13.57446132  10.45064591  10.84746975  10.88413524]","[ -8.42  -8.3   -7.32  -9.76 -20.52 -36.6  -57.52 -75.34 -80.08 -69.18
 -50.94 -35.1  -22.32  -9.54   2.86  12.62  20.54  28.12  34.16  37.48
  40.32  45.32  51.6   55.42  53.78  49.3   43.    42.26  41.66  40.5
  37.64  31.88  25.4   21.08  18.26  14.76   7.7    3.8    1.38  -1.34]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,10.0,"['laserPulse', 'noisebursts']",band033,6.0,4.1835994366,False,,
7,"[None, None]",right_AC,2.0,[ -0.79789015 -71.64276467  48.72723636],[  2.61306533e-05   2.67839196e-04   8.29648241e-04],"[  9.1990701    9.33144393   9.97738376  11.49737762  12.36786615
  11.2350216    9.8815968   10.41465655  10.96391379  10.66847736
  10.33725516  10.69382519  10.89339555  11.24638335  11.72827334
  11.62658232  11.38501807  11.32665263  11.52208425  11.41990724
  10.91682753  10.40643436  10.28082919   9.98398164   9.603164
   9.54370492   9.61073234  10.03274856  10.37007828  10.57887541
  10.77854103  10.89582135  10.68839445  10.33056194  10.03519901
   9.84374462  10.01988366  10.20698379  10.28773982  10.18859727]","[ -0.97777778  -0.80717949  -2.46119658  -8.63282051 -19.96923077
 -34.52512821 -50.50324786 -65.10632479 -71.64581197 -65.34769231
 -50.71965812 -35.63282051 -23.30837607 -12.82905983  -3.01230769
   6.32683761  14.74940171  22.          28.44752137  34.43521368
  39.57880342  43.29538462  45.66461538  47.3842735   48.45811966
  48.72273504  48.25709402  46.7808547   44.76581197  42.48717949
  39.62051282  36.07384615  32.31247863  28.76957265  25.41880342
  21.8242735   17.99589744  14.45709402  11.44547009   8.61675214]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,585.0,"['laserPulse', 'noisebursts']",band033,6.0,6.78565349256,False,,
8,"[None, None]",right_AC,3.0,[ 14.45220658 -64.72054105  26.49262575],[  7.18592965e-05   2.67839196e-04   8.29648241e-04],"[ 17.33938121  21.79979745  28.94729229  33.32957663  31.29368931
  25.13789878  19.26478255  16.60779424  15.61368248  14.44648286
  13.78896579  14.6775523   15.49948764  15.5139537   15.80512331
  16.36052743  17.5573188   19.25397239  20.09688626  20.812452
  21.86565491  21.52884058  20.11141542  19.69467156  20.17414854
  20.85418167  21.31318703  20.82483468  20.18839419  20.30507681
  19.29119149  17.85254004  16.72758167  16.96899875  18.66609819
  19.84629009  19.62932293  18.30841566  17.36450998  17.40812124]","[  4.06753247  10.          14.27012987  12.03376623   0.68571429
 -18.01818182 -39.76623377 -57.9012987  -64.74025974 -58.22077922
 -45.0025974  -33.04675325 -24.35844156 -16.72207792  -9.31688312
  -2.82597403   2.97142857   8.4987013   13.55064935  18.16363636
  22.05714286  24.65974026  25.93506494  26.09350649  26.32727273
  26.48051948  26.3974026   27.20519481  26.55844156  25.96103896
  25.13506494  24.33506494  23.23896104  21.07272727  18.88311688
  17.07272727  15.81818182  13.64935065  12.20519481   9.29350649]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,77.0,"['laserPulse', 'noisebursts']",band033,6.0,3.31021690472,False,,
9,"[None, None]",right_AC,1.0,[ -6.91320425 -56.78809688  41.86624719],[  1.30653266e-05   2.67839196e-04   7.83919598e-04],"[ 12.36014991  13.21399208  13.29296402  13.67781881  13.47802926
  12.41030297  10.13740313   9.17739317   9.0233856    8.63349235
   9.14980919  11.74071112  12.38172807  11.45190446  11.47628529
  12.37041592  11.78503043  12.63509477  12.92434758  12.25311564
  11.21709513  11.92795522  13.68087282  13.84784197  13.77951528
  14.06120329  13.08328376  11.17321177  10.52549836  11.36216718
  12.17470959  11.39456518  10.37453972  11.23580831  11.56945608
  12.09390257  14.43694755  14.97058272  12.81483193  12.3862794 ]","[ -7.11818182  -7.36363636 -10.17272727 -14.9        -20.3        -28.02727273
 -39.81818182 -51.7        -56.78181818 -52.90909091 -43.89090909
 -33.34545455 -22.79090909 -12.25454545  -2.81818182   4.20909091
   9.78181818  14.67272727  19.28181818  24.54545455  30.06363636
  34.64545455  38.50909091  41.5         41.36363636  38.77272727
  37.33636364  38.45454545  40.05454545  39.05454545  34.99090909
  30.95454545  28.67272727  26.55454545  23.66363636  20.65454545  17.4
  14.12727273  11.60909091   7.59090909]",2017-07-27,1400.0,"['2017-07-27_13-28-16', '2017-07-27_13-29-46']",0.0,0.0,medialDiI,/home/jarauser/src/jaratest/common/inforecordings/band033_inforec.py,0.0,22.0,"['laserPulse', 'noisebursts']",band033,8.0,4.71580032864,False,,
